episode_id,timestep,agent_id,state,action
0,0,0,"0.3120246893346864,0.5900434953479063,0.5624828155837819",1
0,0,1,"0.32317773511118575,0.724819472357634,0.08758542882162301",1
0,1,0,"0.05778384955027771,0.3117929280157188,0.24238125897254204",0
0,1,1,"0.5263145597505429,0.6232744735639822,0.3616545852574188",2
0,2,0,"0.5228195356930572,0.9568711953166887,0.7024300451666537",3
0,2,1,"0.03738159938094543,0.24673521864593795,0.17755225179560374",3
0,3,0,"0.5436518413282655,0.990771711116714,0.16485278172275242",4
0,3,1,"0.7754238336801589,0.7430845654171495,0.20444512984497198",3
0,4,0,"0.5193785416410156,0.9081931301780749,0.49424405840435914",3
0,4,1,"0.8625641156928411,0.5658827521301579,0.8324458812772446",0
0,5,0,"0.23896478430927748,0.8454339131939205,0.9261247292751758",0
0,5,1,"0.7120932451545388,0.8277155354675073,0.8807007004067025",3
0,6,0,"0.6998071291258408,0.7809592743751853,0.6823305180417161",0
0,6,1,"0.2326884495348468,0.619946390933752,0.9435050172310419",3
0,7,0,"0.22146518224720424,0.9107434645183153,0.7533751928448862",0
0,7,1,"0.6998504644028926,0.17294560593724617,0.7730335841296663",2
0,8,0,"0.5620163821972338,0.28476309627748897,0.7056232547213875",0
0,8,1,"0.5226402750728419,0.4473910923866157,0.5269948305391389",4
0,9,0,"0.8633058660690783,0.993223039246216,0.6801545394628212",1
0,9,1,"0.5292464105198242,0.7618434867771388,0.047523844438985274",3
0,10,0,"0.2754112171235481,0.7584476368091821,0.7460746509133156",2
0,10,1,"0.811032357756074,0.920307275323465,0.13732103089554215",1
0,11,0,"0.501005270829934,0.4473016921415712,0.5413995636473452",3
0,11,1,"0.54425847969948,0.06721405405840197,0.15316439476386834",2
0,12,0,"0.6983399190557736,0.2750678838074062,0.4289305490524795",3
0,12,1,"0.1746080070229371,0.6809173327073529,0.7996261986623596",1
0,13,0,"0.4794282511401443,0.04164964408854488,0.9323921350066452",1
0,13,1,"0.9809722169559544,0.16722341036443322,0.1666859267796279",4
0,14,0,"0.29233267351537806,0.7734346401224901,0.942603280749455",4
0,14,1,"0.770285980531228,0.2769759767130954,0.23736674793050416",4
0,15,0,"0.6617904450244194,0.2891218253647254,0.4557108386016884",3
0,15,1,"0.44389197269060965,0.313341311070261,0.6987820325157746",0
0,16,0,"0.9323595537130539,0.2825550705654307,0.7959215032720806",0
0,16,1,"0.5992572500219453,0.8569562727141493,0.6112174567361697",4
