episode_id,timestep,agent_id,state,action
0,0,0,"0.28494285805126496,0.12798380481042826,0.5603683813412631",3
0,0,1,"0.34941842431695125,0.43152326677133657,0.4970551381452252",0
0,1,0,"0.07404476396376125,0.2768298298248483,0.6052893341204979",1
0,1,1,"0.17373230147980245,0.3559501307096511,0.2311054370959017",2
0,2,0,"0.6214884395517015,0.6105519050789416,0.4648205533821802",1
0,2,1,"0.2875558716672345,0.07738644440314224,0.7541461700079501",2
0,3,0,"0.8745740678557938,0.20450209148543774,0.8706193964344032",1
0,3,1,"0.8717601733740933,0.9616081253667601,0.7167709040017197",3
0,4,0,"0.5244964562930757,0.4958756255467701,0.6506747481572522",0
0,4,1,"0.32551382962380493,0.682182661761015,0.9452392384899969",4
0,5,0,"0.710871290343847,0.40314765720620616,0.9662189912781867",2
0,5,1,"0.6427503218869431,0.17371557164883833,0.1633212887073452",4
0,6,0,"0.287463585002977,0.7735903828266821,0.7078231867180869",3
0,6,1,"0.13552061663931703,0.6857681746947509,0.16489210465026993",2
0,7,0,"0.2704785162897759,0.5835105990539703,0.9843322460134848",0
0,7,1,"0.7811362955697243,0.9488398162892218,0.7392963618519975",2
0,8,0,"0.7467882071634406,0.4637849201564751,0.5402526050295372",1
0,8,1,"0.9615634957470969,0.34839678746563973,0.2934741031621677",1
0,9,0,"0.6250868037793093,0.9191659178585104,0.16457473674389667",1
0,9,1,"0.062408877441865185,0.27514479081101484,0.7548017115420933",3
0,10,0,"0.7389358049338856,0.36561171018212624,0.03416376108126307",3
0,10,1,"0.3243100671108117,0.5075313141353032,0.43750255817172135",4
0,11,0,"0.33018084737599385,0.9801154180212196,0.08557971788094276",1
0,11,1,"0.8265453559391374,0.7492093436059641,0.7553891589640835",1
0,12,0,"0.35103289042689756,0.5477059628151022,0.46276452304276927",2
0,12,1,"0.8291437616988855,0.8476662426329362,0.6839640879730973",0
0,13,0,"0.07761109502867969,0.6593102110220078,0.5929008340806814",2
0,13,1,"0.5547792881920122,0.5674561918148029,0.5882596237156139",0
0,14,0,"0.4455600088286048,0.11274325416074515,0.388543975361866",1
0,14,1,"0.37636445869638513,0.8983341900876045,0.07754280191248164",0
0,15,0,"0.508562653443918,0.909365760413228,0.6088942696475632",1
0,15,1,"0.9657796940751638,0.17945630061045192,0.7159800155547058",0
0,16,0,"0.7116382763132023,0.5485060177678343,0.9064859845534865",0
0,16,1,"0.4288563413215519,0.3369455173633581,0.3845239838079578",1
0,17,0,"0.896411696263321,0.8169714897686513,0.038992131794459595",0
0,17,1,"0.6060439357257298,0.4062211283490148,0.9920952590721945",4
0,18,0,"0.8405140423327638,0.8436703701039215,0.8235170935374411",3
0,18,1,"0.6178076515372101,0.5740021587673183,0.010189090826284053",4
0,19,0,"0.42174471696238014,0.25630938798248526,0.08886073148947193",3
0,19,1,"0.05266250675002293,0.48919346567725674,0.3127831232298116",2
0,20,0,"0.10381104871179025,0.20548732450783735,0.8888792085713795",2
0,20,1,"0.34425313048148787,0.04315933640730418,0.9380891461534231",3
0,21,0,"0.32080763627105524,0.8213375475432293,0.4437678530962633",0
0,21,1,"0.3057871222592573,0.4998256641719009,0.5622682521920782",0
0,22,0,"0.4647197483498683,0.6615900197177895,0.9470200092465111",1
0,22,1,"0.5437078946660735,0.26399861132979296,0.5177228209330274",1
0,23,0,"0.3369698070907119,0.9145636053708687,0.03297484332222067",0
0,23,1,"0.07979382863723805,0.08337616741308806,0.21224939625455352",2
0,24,0,"0.16825508224130659,0.6909331876548631,0.3910434263433362",0
0,24,1,"0.9617299854066756,0.8138151658681975,0.8606108700411718",2
0,25,0,"0.6929081170930105,0.9366918660761459,0.7139943921929143",4
0,25,1,"0.32618270847678865,0.26008126976306367,0.2757665096430991",3
0,26,0,"0.8868746435206557,0.11660717574909607,0.8661490067132359",1
0,26,1,"0.7402295309400909,0.5742475720567578,0.029948011283098874",2
0,27,0,"0.054745316739818195,0.9676604839938786,0.39249829259177693",4
0,27,1,"0.972089990196869,0.6618131151981315,0.828716387913081",4
0,28,0,"0.8267902527485228,0.010114206198069464,0.42310333385102705",1
0,28,1,"0.43385628236501683,0.4055243233941114,0.9011490820425203",0
0,29,0,"0.0048683574230213855,0.7414317400283063,0.7012603804732237",1
0,29,1,"0.6852482621404618,0.9253496489590133,0.8831379378191815",4
0,30,0,"0.6846424737119517,0.12473650072882847,0.4966362148196731",2
0,30,1,"0.22250019240366614,0.6742271443764207,0.46924599461729044",3
0,31,0,"0.004451161844188034,0.12608818483997042,0.7541245361965506",2
0,31,1,"0.8066277455637988,0.24993155080371598,0.2536939010225081",0
0,32,0,"0.3823682138212846,0.6606350024889047,0.9677617936063262",4
0,32,1,"0.8721742160574919,0.40315709573760206,0.3840273321675639",3
0,33,0,"0.8084269911273839,0.37918571328248263,0.4952336028768597",2
0,33,1,"0.6975055855581267,0.930042209116565,0.7888793233310724",4
0,34,0,"0.9704187287670951,0.23928238224829113,0.31641093047836166",4
0,34,1,"0.353051802806965,0.9745622081299241,0.0912149001051974",3
0,35,0,"0.5468534672791999,0.9082948613955373,0.397843530359827",1
0,35,1,"0.8922094932170462,0.18986907261812147,0.5054818281244754",1
0,36,0,"0.32546891537966205,0.6507693174026649,0.8516722424299106",4
0,36,1,"0.4750487773394827,0.4993870719277854,0.279823973863493",2
0,37,0,"0.31659627048739103,0.7456886360235003,0.21697780283957824",4
0,37,1,"0.919011226792535,0.8226111475753205,0.07808866354146127",0
0,38,0,"0.3775357477612463,0.6487240622925987,0.00925959483213179",0
0,38,1,"0.699257706237331,0.5369805181418545,0.9348020210906092",1
0,39,0,"0.9356520835236872,0.933134574191305,0.011655862143117313",1
0,39,1,"0.8466361746473627,0.5652146354817648,0.13367960244538712",3
0,40,0,"0.5374145546586991,0.8426242172777672,0.6300096838202774",1
0,40,1,"0.3960780306477387,0.2041581369055797,0.037572150150623984",2
0,41,0,"0.9401467074758556,0.819681089537355,0.14589845466961848",4
0,41,1,"0.30581014863813083,0.5862549397465519,0.20092841987780252",2
0,42,0,"0.8737267699345982,0.014007346504753215,0.7366519853084581",2
0,42,1,"0.7683181996897828,0.6279968668120841,0.9274739873699117",1
0,43,0,"0.1503355679463635,0.7003265770207215,0.5214672394466462",2
0,43,1,"0.018395535064286705,0.37711188650249683,0.032478542458186155",1
0,44,0,"0.5164981904180052,0.3400207918209779,0.41712574807737113",0
0,44,1,"0.9436309702519117,0.445912778622937,0.9178400444664222",2
0,45,0,"0.366776767877642,0.8457554430713689,0.49505522734415863",4
0,45,1,"0.6512579191810658,0.1897120545712362,0.2184838207541494",0
0,46,0,"0.9277026861671048,0.7177373303365727,0.1407600449196491",4
0,46,1,"0.7285226617882401,0.5668630007148105,0.3754597132229631",2
0,47,0,"0.7773768800839201,0.8406623665129012,0.5517688043751878",1
0,47,1,"0.6148809093521168,0.5501568360399731,0.9533531635665465",4
0,48,0,"0.21344938616086484,0.12649756064945283,0.02173431656951652",4
0,48,1,"0.1879493521058938,0.33314841479539725,0.4377087911776103",2
0,49,0,"0.5268356915578616,0.6160396950840608,0.4204056818584816",4
0,49,1,"0.14449407092023003,0.12076730884296571,0.27262468166591625",2
1,0,0,"0.041824009631463155,0.39403753866025426,0.03044475422123971",3
1,0,1,"0.13959083457584842,0.7224238525597089,0.5448371858748682",0
1,1,0,"0.3784187581776034,0.014703252388188814,0.9819785543384665",2
1,1,1,"0.5735252500351078,0.8356165063571566,0.3278303834353844",1
1,2,0,"0.03841971993754523,0.8029077167960872,0.8952686353170269",1
1,2,1,"0.5360580635893574,0.016350465256677382,0.8908550127423569",3
1,3,0,"0.02227275335558654,0.860076267767985,0.3875160567099424",3
1,3,1,"0.6409423590166015,0.036377159197003794,0.28247816697440786",3
1,4,0,"0.9309935778029405,0.09521255480261359,0.38717305988483464",2
1,4,1,"0.952860889823085,0.3597862485180203,0.8645647067859666",0
1,5,0,"0.11453477817073465,0.6453649695979314,0.2508487018106652",4
1,5,1,"0.548087350962848,0.33382575189603547,0.3817059741985279",3
1,6,0,"0.724664089377539,0.7624341331051261,0.37478447359248135",1
1,6,1,"0.41465075625906145,0.8212660801704597,0.8775434367442041",3
1,7,0,"0.30324269939276727,0.6453046629325767,0.6166061041800698",1
1,7,1,"0.22278324973594998,0.6063174526763544,0.729516712782953",0
1,8,0,"0.10295954539410013,0.5689457573853988,0.9440847638582306",0
1,8,1,"0.6002365472225775,0.5633457005908198,0.978862046951856",2
1,9,0,"0.47276311479225186,0.3975398381613915,0.981668564712075",2
1,9,1,"0.5431033611309675,0.02892647896207512,0.3826158946813222",0
1,10,0,"0.29389921913804595,0.6963088639956013,0.583098737955396",0
1,10,1,"0.9770809879988294,0.019114460823819734,0.5864187161742146",4
1,11,0,"0.3388013215487905,0.3153633032512213,0.8411340210758991",3
1,11,1,"0.8625254395086254,0.8181382822406728,0.11368483182864386",3
1,12,0,"0.07953777531617745,0.5134963718192305,0.18564757252135633",2
1,12,1,"0.937887642682449,0.23122149738397635,0.4816269867314358",2
1,13,0,"0.41482763460891514,0.1197866036821047,0.4834247778487768",1
1,13,1,"0.3192838063937674,0.6312482086781533,0.9971180028364566",0
1,14,0,"0.2805336664022108,0.38822132536368315,0.03002919522179215",3
1,14,1,"0.736832641556328,0.12090493692469662,0.39634050827104894",0
1,15,0,"0.9814167239136511,0.06266176310080773,0.3512474144616865",1
1,15,1,"0.3655616972599347,0.7956447547384563,0.49124765420467875",0
1,16,0,"0.6520541302221808,0.03572717418481175,0.6291215194657663",2
1,16,1,"0.8325306924828308,0.38446610715893936,0.05743433175893875",1
1,17,0,"0.016799046935248918,0.742647820231306,0.18626067857515993",0
1,17,1,"0.29937177811332805,0.6188295199918084,0.43140930216750417",1
1,18,0,"0.6958958046616088,0.3426108661991265,0.14659890037300682",4
1,18,1,"0.39222249342715665,0.8578890362094548,0.9683297253269859",4
1,19,0,"0.48364548015382725,0.6049218930753162,0.6385987207813698",3
1,19,1,"0.6891302532282733,0.23935836599021398,0.7023503460151029",0
1,20,0,"0.6345257442297119,0.7404315033065767,0.2519457879068957",0
1,20,1,"0.2231408286709431,0.8598319519053653,0.7227725997755999",4
1,21,0,"0.8928410747789947,0.9504063203392573,0.6396412193991076",1
1,21,1,"0.889165279940667,0.4237003525464219,0.043636438760066176",4
1,22,0,"0.22210741403735978,0.4378649445244889,0.40512165229539954",2
1,22,1,"0.043219868718872845,0.5575465756414126,0.4963881979277426",0
1,23,0,"0.5468408059941199,0.30273991159941094,0.9163430088922111",3
1,23,1,"0.8509303129756791,0.30350683435779624,0.07464326037406332",4
1,24,0,"0.2716039139853298,0.48504682851882763,0.8171162468632325",2
1,24,1,"0.5585057028151407,0.6104312528033604,0.03113667462230485",4
1,25,0,"0.7103939392019362,0.9832131432423818,0.08753325030149972",2
1,25,1,"0.28593137773210286,0.34964919640984027,0.9398945709002505",3
1,26,0,"0.9493685351714523,0.3798839523511316,0.3689384634436794",3
1,26,1,"0.0761175885807367,0.0362173896322604,0.9474953679195114",3
1,27,0,"0.42636383787411725,0.5751670505476559,0.3107601523585505",0
1,27,1,"0.7155422594977464,0.9962905074103573,0.9917484359403177",1
1,28,0,"0.6231438119056327,0.5109462458686823,0.8554173203165689",3
1,28,1,"0.5617832343517302,0.7103199673076201,0.6323878077996945",1
