episode_id,timestep,agent_id,state,action
0,0,0,"0.6043301661620418,0.8974540460301743,0.31382230023055924",1
0,0,1,"0.44236221577056667,0.06334406136434256,0.4269223752623398",1
0,1,0,"0.3691679035114076,0.15797990216934354,0.9465055609985504",1
0,1,1,"0.26719632170639074,0.9191775507962415,0.9421421798360652",4
0,2,0,"0.13988626283434336,0.07203793305957995,0.7254291272772263",3
0,2,1,"0.08935622205609106,0.08348354121652302,0.2100103724558714",1
0,3,0,"0.1742659232765913,0.017436114467091146,0.3334209660384987",3
0,3,1,"0.8707967930877821,0.8085943426555071,0.5515272054975708",4
0,4,0,"0.5424150167400569,0.0071768594243304396,0.14511471852716673",3
0,4,1,"0.0723589487913936,0.12286527135121661,0.15811976112686565",3
0,5,0,"0.06688596906738553,0.3426128243438885,0.29619573370852714",4
0,5,1,"0.11198835523843786,0.8975353699236106,0.6705274290755248",0
0,6,0,"0.3086786037141118,0.6575405347897062,0.5495781521454062",0
0,6,1,"0.3013335174903069,0.20722182848556214,0.3306095578407001",0
0,7,0,"0.5862185363764183,0.5434634678405855,0.31688258236182376",2
0,7,1,"0.5085623125828524,0.8698325009259597,0.7007014275036675",0
0,8,0,"0.5431531000398779,0.8764333245794034,0.42849273899095575",1
0,8,1,"0.02864903984179823,0.946147326362603,0.3690214147485916",0
0,9,0,"0.6723649804759902,0.9501665678508191,0.2820970560663467",1
0,9,1,"0.8824576742668637,0.9411830141660638,0.47929305887700135",2
0,10,0,"0.023894113578781795,0.3529755245156785,0.43820950807280834",4
0,10,1,"0.8031485190951084,0.07774822032197304,0.7758347158138076",1
0,11,0,"0.609387532370878,0.6794552402857456,0.08446727648507502",0
0,11,1,"0.8444916565840805,0.5192978665954842,0.8197132595455097",0
0,12,0,"0.4083547592812157,0.04967062135125877,0.4573649271189367",0
0,12,1,"0.2211966476628443,0.4094011686121576,0.9955024692565589",3
0,13,0,"0.055108653952446796,0.6380329198390302,0.0044621138566776075",2
0,13,1,"0.984226313274786,0.6369102889187006,0.2685262721272643",2
